bio,name,birthdate
,"J.K. Rowling
    ","July 31, 1965"
,"Albert Einstein
    ","March 14, 1879"
,"Steve Martin
    ","August 14, 1945"
,"Eleanor Roosevelt
    ","October 11, 1884"
,"Marilyn Monroe
    ","June 01, 1926"
,"André Gide
    ","November 22, 1869"
,"Thomas A. Edison
    ","February 11, 1847"
,"Jane Austen
    ","December 16, 1775"
